N,density,threads,repeats,sample_id,gemm_time_s,spmm_time_s,nnz,bw_stream_GBs
256,0.01,6,3,24,0.000339,0.000007,657,27.377
256,0.01,6,3,25,0.000330,0.000030,657,27.377
320,0.01,6,3,1,0.000828,0.000009,1058,27.377
320,0.01,6,3,2,0.001379,0.000009,1058,27.377
320,0.01,6,3,3,0.000955,0.000160,1058,27.377
320,0.01,6,3,4,0.001104,0.000009,1058,27.377
320,0.01,6,3,5,0.000659,0.000009,1058,27.377
320,0.01,6,3,6,0.000675,0.000030,1058,27.377
320,0.01,6,3,7,0.000761,0.000008,1058,27.377
320,0.01,6,3,8,0.000667,0.000008,1058,27.377
320,0.01,6,3,9,0.000645,0.000008,1058,27.377
320,0.01,6,3,10,0.000618,0.000008,1058,27.377
320,0.01,6,3,11,0.000641,0.000009,1058,27.377
320,0.01,6,3,12,0.000576,0.000008,1058,27.377
320,0.01,6,3,13,0.000650,0.000013,1058,27.377
320,0.01,6,3,14,0.000593,0.000008,1058,27.377
320,0.01,6,3,15,0.000646,0.000008,1058,27.377
320,0.01,6,3,16,0.000619,0.000007,1058,27.377
320,0.01,6,3,17,0.000619,0.000007,1058,27.377
320,0.01,6,3,18,0.000786,0.000008,1058,27.377
320,0.01,6,3,19,0.000641,0.000009,1058,27.377
320,0.01,6,3,20,0.000666,0.000007,1058,27.377
320,0.01,6,3,21,0.000623,0.000007,1058,27.377
320,0.01,6,3,22,0.000606,0.000008,1058,27.377
320,0.01,6,3,23,0.000607,0.000008,1058,27.377
320,0.01,6,3,24,0.000602,0.000009,1058,27.377
320,0.01,6,3,25,0.000630,0.000007,1058,27.377
384,0.01,6,3,1,0.001300,0.000167,1494,27.377
384,0.01,6,3,2,0.001260,0.000124,1494,27.377
384,0.01,6,3,3,0.001289,0.000333,1494,27.377
384,0.01,6,3,4,0.001172,0.000149,1494,27.377
384,0.01,6,3,5,0.001285,0.000174,1494,27.377
384,0.01,6,3,6,0.001263,0.000213,1494,27.377
384,0.01,6,3,7,0.001275,0.000180,1494,27.377
384,0.01,6,3,8,0.001224,0.000166,1494,27.377
384,0.01,6,3,9,0.001258,0.000266,1494,27.377
384,0.01,6,3,10,0.001203,0.000165,1494,27.377
384,0.01,6,3,11,0.001280,0.000164,1494,27.377
384,0.01,6,3,12,0.001486,0.000133,1494,27.377
384,0.01,6,3,13,0.001210,0.000135,1494,27.377
384,0.01,6,3,14,0.001219,0.000154,1494,27.377
384,0.01,6,3,15,0.001216,0.000281,1494,27.377
384,0.01,6,3,16,0.001268,0.000191,1494,27.377
384,0.01,6,3,17,0.001307,0.000165,1494,27.377
384,0.01,6,3,18,0.001292,0.000176,1494,27.377
384,0.01,6,3,19,0.001231,0.000201,1494,27.377
384,0.01,6,3,20,0.001259,0.000123,1494,27.377
384,0.01,6,3,21,0.001531,0.000160,1494,27.377
