kernel,build,dtype,M,stride,align,misalign_bytes,time_s,run_id,result
saxpy,scalar,f32,131072,1,misaligned,4,0.000037809,8,
saxpy,scalar,f32,131072,1,misaligned,4,0.000037589,9,
saxpy,simd,f32,4194304,1,misaligned,4,0.000770397,0,
saxpy,simd,f32,4194304,1,misaligned,4,0.000712239,1,
saxpy,simd,f32,4194304,1,misaligned,4,0.000691180,2,
saxpy,simd,f32,4194304,1,misaligned,4,0.000646291,3,
saxpy,simd,f32,4194304,1,misaligned,4,0.000659600,4,
saxpy,simd,f32,4194304,1,misaligned,4,0.000666370,5,
saxpy,simd,f32,4194304,1,misaligned,4,0.000667309,6,
saxpy,simd,f32,4194304,1,misaligned,4,0.000676311,7,
saxpy,simd,f32,4194304,1,misaligned,4,0.000665869,8,
saxpy,simd,f32,4194304,1,misaligned,4,0.000670901,9,
saxpy,scalar,f32,4194304,1,misaligned,4,0.001233571,0,
saxpy,scalar,f32,4194304,1,misaligned,4,0.001232321,1,
saxpy,scalar,f32,4194304,1,misaligned,4,0.001226011,2,
saxpy,scalar,f32,4194304,1,misaligned,4,0.001226732,3,
saxpy,scalar,f32,4194304,1,misaligned,4,0.001226331,4,
saxpy,scalar,f32,4194304,1,misaligned,4,0.001229132,5,
saxpy,scalar,f32,4194304,1,misaligned,4,0.001225571,6,
saxpy,scalar,f32,4194304,1,misaligned,4,0.001225191,7,
saxpy,scalar,f32,4194304,1,misaligned,4,0.001225522,8,
saxpy,scalar,f32,4194304,1,misaligned,4,0.001227581,9,
saxpy,simd,f32,131075,1,misaligned,4,0.000011040,0,
saxpy,simd,f32,131075,1,misaligned,4,0.000011040,1,
saxpy,simd,f32,131075,1,misaligned,4,0.000010950,2,
saxpy,simd,f32,131075,1,misaligned,4,0.000010690,3,
saxpy,simd,f32,131075,1,misaligned,4,0.000010759,4,
saxpy,simd,f32,131075,1,misaligned,4,0.000010840,5,
saxpy,simd,f32,131075,1,misaligned,4,0.000010950,6,
saxpy,simd,f32,131075,1,misaligned,4,0.000010740,7,
saxpy,simd,f32,131075,1,misaligned,4,0.000010720,8,
saxpy,simd,f32,131075,1,misaligned,4,0.000010800,9,
saxpy,scalar,f32,131075,1,misaligned,4,0.000037810,0,
saxpy,scalar,f32,131075,1,misaligned,4,0.000038379,1,
saxpy,scalar,f32,131075,1,misaligned,4,0.000037679,2,
saxpy,scalar,f32,131075,1,misaligned,4,0.000037430,3,
saxpy,scalar,f32,131075,1,misaligned,4,0.000037369,4,
saxpy,scalar,f32,131075,1,misaligned,4,0.000037279,5,
saxpy,scalar,f32,131075,1,misaligned,4,0.000037610,6,
saxpy,scalar,f32,131075,1,misaligned,4,0.000037530,7,
saxpy,scalar,f32,131075,1,misaligned,4,0.000037320,8,
saxpy,scalar,f32,131075,1,misaligned,4,0.000037439,9,
saxpy,simd,f32,4194307,1,misaligned,4,0.000778368,0,
saxpy,simd,f32,4194307,1,misaligned,4,0.000708429,1,
saxpy,simd,f32,4194307,1,misaligned,4,0.000695989,2,
saxpy,simd,f32,4194307,1,misaligned,4,0.000617282,3,
saxpy,simd,f32,4194307,1,misaligned,4,0.000644410,4,
saxpy,simd,f32,4194307,1,misaligned,4,0.000657271,5,
saxpy,simd,f32,4194307,1,misaligned,4,0.000656281,6,
saxpy,simd,f32,4194307,1,misaligned,4,0.000658850,7,
saxpy,simd,f32,4194307,1,misaligned,4,0.000670409,8,
saxpy,simd,f32,4194307,1,misaligned,4,0.000679609,9,
saxpy,scalar,f32,4194307,1,misaligned,4,0.001234221,0,
saxpy,scalar,f32,4194307,1,misaligned,4,0.001231551,1,
saxpy,scalar,f32,4194307,1,misaligned,4,0.001213172,2,
saxpy,scalar,f32,4194307,1,misaligned,4,0.001219231,3,
saxpy,scalar,f32,4194307,1,misaligned,4,0.001215531,4,
saxpy,scalar,f32,4194307,1,misaligned,4,0.001222162,5,
saxpy,scalar,f32,4194307,1,misaligned,4,0.001225311,6,
saxpy,scalar,f32,4194307,1,misaligned,4,0.001223202,7,
saxpy,scalar,f32,4194307,1,misaligned,4,0.001219012,8,
saxpy,scalar,f32,4194307,1,misaligned,4,0.001222513,9,
saxpy,simd,f32,131072,1,aligned,0,0.000010260,0,
