filter,param_bits,load,capacity_slots,insert_attempts,inserted,insert_mops,insert_fail_rate,cuckoo_total_kicks,cuckoo_stash_inserts,cuckoo_avg_probe,delete_mops,qf_cluster_p50,qf_cluster_p95,qf_cluster_p99,qf_cluster_max
Cuckoo,16,0.60,2097152,1000000,991792,34.413179,0.008208,4146212,16,20.310279,19.708140,,,,
Cuckoo,16,0.65,2097152,1000000,991792,32.515527,0.008208,4146212,16,20.310279,12.759722,,,,
Cuckoo,16,0.70,2097152,1000000,991792,18.928675,0.008208,4146212,16,20.310279,18.979725,,,,
Cuckoo,16,0.75,2097152,1000000,991792,27.355889,0.008208,4146212,16,20.310279,21.933759,,,,
Cuckoo,16,0.80,2097152,1000000,991792,29.968085,0.008208,4146212,16,20.310279,22.787001,,,,
Cuckoo,16,0.85,2097152,1000000,991792,24.801616,0.008208,4146212,16,20.310279,20.529775,,,,
Cuckoo,16,0.90,2097152,1000000,991792,22.913671,0.008208,4146212,16,20.310279,18.472888,,,,
Cuckoo,16,0.95,2097152,1000000,991792,32.813280,0.008208,4146212,16,20.310279,17.857757,,,,
Quotient,16,0.40,2097152,838860,189113,29.315142,0.000000,,,,10.537448,1,3,5,33
Quotient,16,0.45,2097152,943718,244641,25.682225,0.000000,,,,13.775044,1,3,6,34
Quotient,16,0.50,2097152,1000000,278407,38.103322,0.000000,,,,20.441550,1,4,7,37
Quotient,16,0.55,2097152,1000000,278407,40.325464,0.000000,,,,11.837980,1,4,7,37
Quotient,16,0.60,2097152,1000000,278407,36.795513,0.000000,,,,17.876982,1,4,7,37
Quotient,16,0.65,2097152,1000000,278407,33.198661,0.000000,,,,20.579112,1,4,7,37
Quotient,16,0.70,2097152,1000000,278407,31.215462,0.000000,,,,20.292098,1,4,7,37
Quotient,16,0.75,2097152,1000000,278407,37.583303,0.000000,,,,14.884623,1,4,7,37
Quotient,16,0.80,2097152,1000000,278407,41.816217,0.000000,,,,15.948662,1,4,7,37
Quotient,16,0.85,2097152,1000000,278407,27.159669,0.000000,,,,12.150508,1,4,7,37
Quotient,16,0.90,2097152,1000000,278407,28.767622,0.000000,,,,20.000281,1,4,7,37
Quotient,16,0.95,2097152,1000000,278407,40.096770,0.000000,,,,12.062564,1,4,7,37
