impl,workload,nkeys,threads,repeat,duration_ms,prefill,ops_per_sec,speedup_vs_1t,raw_output
baseline,lookup,10000,1,1,2000,1,21986424.000,1.000,"lookup,10000,1,2000,1,1048576,43972848,21986424.000"
baseline,lookup,10000,12,1,2000,1,8411729.500,0.383,"lookup,10000,12,2000,1,1048576,16823459,8411729.500"
baseline,lookup,10000,1,2,2000,1,23233799.000,1.000,"lookup,10000,1,2000,1,1048576,46467598,23233799.000"
baseline,lookup,10000,12,2,2000,1,8854790.500,0.381,"lookup,10000,12,2000,1,1048576,17709581,8854790.500"
baseline,lookup,10000,1,3,2000,1,23515531.500,1.000,"lookup,10000,1,2000,1,1048576,47031063,23515531.500"
baseline,lookup,10000,12,3,2000,1,7874244.000,0.335,"lookup,10000,12,2000,1,1048576,15748488,7874244.000"
baseline,lookup,100000,1,1,2000,1,11718147.500,1.000,"lookup,100000,1,2000,1,1048576,23436295,11718147.500"
baseline,lookup,100000,12,1,2000,1,4135768.500,0.353,"lookup,100000,12,2000,1,1048576,8271537,4135768.500"
baseline,lookup,100000,1,2,2000,1,12296718.000,1.000,"lookup,100000,1,2000,1,1048576,24593436,12296718.000"
baseline,lookup,100000,12,2,2000,1,4366202.500,0.355,"lookup,100000,12,2000,1,1048576,8732405,4366202.500"
baseline,lookup,100000,1,3,2000,1,12335254.500,1.000,"lookup,100000,1,2000,1,1048576,24670509,12335254.500"
baseline,lookup,100000,12,3,2000,1,4395979.000,0.356,"lookup,100000,12,2000,1,1048576,8791958,4395979.000"
baseline,lookup,1000000,1,1,2000,1,3220368.000,1.000,"lookup,1000000,1,2000,1,1048576,6440736,3220368.000"
baseline,lookup,1000000,12,1,2000,1,1541648.000,0.479,"lookup,1000000,12,2000,1,1048576,3083296,1541648.000"
baseline,lookup,1000000,1,2,2000,1,2374930.500,1.000,"lookup,1000000,1,2000,1,1048576,4749861,2374930.500"
baseline,lookup,1000000,12,2,2000,1,1549437.000,0.652,"lookup,1000000,12,2000,1,1048576,3098874,1549437.000"
baseline,lookup,1000000,1,3,2000,1,2628097.500,1.000,"lookup,1000000,1,2000,1,1048576,5256195,2628097.500"
baseline,lookup,1000000,12,3,2000,1,1603034.500,0.610,"lookup,1000000,12,2000,1,1048576,3206069,1603034.500"
