impl,workload,nkeys,threads,repeat,duration_ms,prefill,ops_per_sec,speedup_vs_1t,raw_output
baseline,insert,10000,1,1,2000,0,21434921.500,1.000,"insert,10000,1,2000,0,1048576,42869843,21434921.500"
baseline,insert,10000,12,1,2000,0,6520481.000,0.304,"insert,10000,12,2000,0,1048576,13040962,6520481.000"
baseline,insert,10000,1,2,2000,0,21411211.000,1.000,"insert,10000,1,2000,0,1048576,42822422,21411211.000"
baseline,insert,10000,12,2,2000,0,6245933.000,0.292,"insert,10000,12,2000,0,1048576,12491866,6245933.000"
baseline,insert,10000,1,3,2000,0,21357265.500,1.000,"insert,10000,1,2000,0,1048576,42714531,21357265.500"
baseline,insert,10000,12,3,2000,0,6269574.500,0.294,"insert,10000,12,2000,0,1048576,12539149,6269574.500"
baseline,insert,100000,1,1,2000,0,10231552.000,1.000,"insert,100000,1,2000,0,1048576,20463104,10231552.000"
baseline,insert,100000,12,1,2000,0,3120480.500,0.305,"insert,100000,12,2000,0,1048576,6240961,3120480.500"
baseline,insert,100000,1,2,2000,0,9735590.000,1.000,"insert,100000,1,2000,0,1048576,19471180,9735590.000"
baseline,insert,100000,12,2,2000,0,2831273.500,0.291,"insert,100000,12,2000,0,1048576,5662547,2831273.500"
baseline,insert,100000,1,3,2000,0,7881318.500,1.000,"insert,100000,1,2000,0,1048576,15762637,7881318.500"
baseline,insert,100000,12,3,2000,0,3204240.500,0.407,"insert,100000,12,2000,0,1048576,6408481,3204240.500"
baseline,insert,1000000,1,1,2000,0,2989728.500,1.000,"insert,1000000,1,2000,0,1048576,5979457,2989728.500"
baseline,insert,1000000,12,1,2000,0,1555137.000,0.520,"insert,1000000,12,2000,0,1048576,3110274,1555137.000"
baseline,insert,1000000,1,2,2000,0,2850003.500,1.000,"insert,1000000,1,2000,0,1048576,5700007,2850003.500"
baseline,insert,1000000,12,2,2000,0,1614357.000,0.566,"insert,1000000,12,2000,0,1048576,3228714,1614357.000"
baseline,insert,1000000,1,3,2000,0,2771170.500,1.000,"insert,1000000,1,2000,0,1048576,5542341,2771170.500"
baseline,insert,1000000,12,3,2000,0,1577879.500,0.569,"insert,1000000,12,2000,0,1048576,3155759,1577879.500"
baseline,mixed,10000,1,1,2000,1,21461491.000,1.000,"mixed,10000,1,2000,1,1048576,42922982,21461491.000"
baseline,mixed,10000,12,1,2000,1,7083485.000,0.330,"mixed,10000,12,2000,1,1048576,14166970,7083485.000"
baseline,mixed,10000,1,2,2000,1,22601823.000,1.000,"mixed,10000,1,2000,1,1048576,45203646,22601823.000"
baseline,mixed,10000,12,2,2000,1,7364563.500,0.326,"mixed,10000,12,2000,1,1048576,14729127,7364563.500"
baseline,mixed,10000,1,3,2000,1,22401942.000,1.000,"mixed,10000,1,2000,1,1048576,44803884,22401942.000"
baseline,mixed,10000,12,3,2000,1,7494072.000,0.335,"mixed,10000,12,2000,1,1048576,14988144,7494072.000"
baseline,mixed,100000,1,1,2000,1,13295329.500,1.000,"mixed,100000,1,2000,1,1048576,26590659,13295329.500"
baseline,mixed,100000,12,1,2000,1,3072321.500,0.231,"mixed,100000,12,2000,1,1048576,6144643,3072321.500"
baseline,mixed,100000,1,2,2000,1,14977258.000,1.000,"mixed,100000,1,2000,1,1048576,29954516,14977258.000"
baseline,mixed,100000,12,2,2000,1,5050313.500,0.337,"mixed,100000,12,2000,1,1048576,10100627,5050313.500"
baseline,mixed,100000,1,3,2000,1,14094356.000,1.000,"mixed,100000,1,2000,1,1048576,28188712,14094356.000"
baseline,mixed,100000,12,3,2000,1,2720518.500,0.193,"mixed,100000,12,2000,1,1048576,5441037,2720518.500"
baseline,mixed,1000000,1,1,2000,1,2700020.500,1.000,"mixed,1000000,1,2000,1,1048576,5400041,2700020.500"
baseline,mixed,1000000,12,1,2000,1,1621566.000,0.601,"mixed,1000000,12,2000,1,1048576,3243132,1621566.000"
baseline,mixed,1000000,1,2,2000,1,2582864.500,1.000,"mixed,1000000,1,2000,1,1048576,5165729,2582864.500"
baseline,mixed,1000000,12,2,2000,1,1612437.500,0.624,"mixed,1000000,12,2000,1,1048576,3224875,1612437.500"
baseline,mixed,1000000,1,3,2000,1,2654842.000,1.000,"mixed,1000000,1,2000,1,1048576,5309684,2654842.000"
baseline,mixed,1000000,12,3,2000,1,1755375.500,0.661,"mixed,1000000,12,2000,1,1048576,3510751,1755375.500"
fine,lookup,10000,1,1,2000,1,18077956.500,1.000,"lookup,10000,1,2000,1,1048576,36155913,18077956.500"
fine,lookup,10000,12,1,2000,1,106954505.000,5.916,"lookup,10000,12,2000,1,1048576,213909010,106954505.000"
fine,lookup,10000,1,2,2000,1,15638751.000,1.000,"lookup,10000,1,2000,1,1048576,31277502,15638751.000"
fine,lookup,10000,12,2,2000,1,105177175.000,6.725,"lookup,10000,12,2000,1,1048576,210354350,105177175.000"
fine,lookup,10000,1,3,2000,1,16574197.000,1.000,"lookup,10000,1,2000,1,1048576,33148394,16574197.000"
fine,lookup,10000,12,3,2000,1,109181777.500,6.587,"lookup,10000,12,2000,1,1048576,218363555,109181777.500"
fine,lookup,100000,1,1,2000,1,9483211.500,1.000,"lookup,100000,1,2000,1,1048576,18966423,9483211.500"
fine,lookup,100000,12,1,2000,1,80670837.000,8.507,"lookup,100000,12,2000,1,1048576,161341674,80670837.000"
fine,lookup,100000,1,2,2000,1,9418573.500,1.000,"lookup,100000,1,2000,1,1048576,18837147,9418573.500"
fine,lookup,100000,12,2,2000,1,76751020.500,8.149,"lookup,100000,12,2000,1,1048576,153502041,76751020.500"
fine,lookup,100000,1,3,2000,1,7132823.000,1.000,"lookup,100000,1,2000,1,1048576,14265646,7132823.000"
fine,lookup,100000,12,3,2000,1,80972316.000,11.352,"lookup,100000,12,2000,1,1048576,161944632,80972316.000"
fine,lookup,1000000,1,1,2000,1,3011952.500,1.000,"lookup,1000000,1,2000,1,1048576,6023905,3011952.500"
fine,lookup,1000000,12,1,2000,1,35897540.000,11.918,"lookup,1000000,12,2000,1,1048576,71795080,35897540.000"
fine,lookup,1000000,1,2,2000,1,3216221.500,1.000,"lookup,1000000,1,2000,1,1048576,6432443,3216221.500"
fine,lookup,1000000,12,2,2000,1,28906112.000,8.988,"lookup,1000000,12,2000,1,1048576,57812224,28906112.000"
fine,lookup,1000000,1,3,2000,1,2756551.500,1.000,"lookup,1000000,1,2000,1,1048576,5513103,2756551.500"
fine,lookup,1000000,12,3,2000,1,28725293.000,10.421,"lookup,1000000,12,2000,1,1048576,57450586,28725293.000"
fine,insert,10000,1,1,2000,0,16593764.000,1.000,"insert,10000,1,2000,0,1048576,33187528,16593764.000"
fine,insert,10000,12,1,2000,0,91435380.500,5.510,"insert,10000,12,2000,0,1048576,182870761,91435380.500"
fine,insert,10000,1,2,2000,0,17534013.500,1.000,"insert,10000,1,2000,0,1048576,35068027,17534013.500"
fine,insert,10000,12,2,2000,0,90738754.000,5.175,"insert,10000,12,2000,0,1048576,181477508,90738754.000"
fine,insert,10000,1,3,2000,0,18292316.500,1.000,"insert,10000,1,2000,0,1048576,36584633,18292316.500"
fine,insert,10000,12,3,2000,0,92128567.000,5.036,"insert,10000,12,2000,0,1048576,184257134,92128567.000"
fine,insert,100000,1,1,2000,0,8991605.500,1.000,"insert,100000,1,2000,0,1048576,17983211,8991605.500"
fine,insert,100000,12,1,2000,0,74993009.000,8.340,"insert,100000,12,2000,0,1048576,149986018,74993009.000"
fine,insert,100000,1,2,2000,0,8355146.000,1.000,"insert,100000,1,2000,0,1048576,16710292,8355146.000"
fine,insert,100000,12,2,2000,0,78391812.000,9.382,"insert,100000,12,2000,0,1048576,156783624,78391812.000"
fine,insert,100000,1,3,2000,0,6877445.000,1.000,"insert,100000,1,2000,0,1048576,13754890,6877445.000"
fine,insert,100000,12,3,2000,0,76677930.000,11.149,"insert,100000,12,2000,0,1048576,153355860,76677930.000"
fine,insert,1000000,1,1,2000,0,3372774.000,1.000,"insert,1000000,1,2000,0,1048576,6745548,3372774.000"
fine,insert,1000000,12,1,2000,0,32467952.000,9.626,"insert,1000000,12,2000,0,1048576,64935904,32467952.000"
fine,insert,1000000,1,2,2000,0,3467271.500,1.000,"insert,1000000,1,2000,0,1048576,6934543,3467271.500"
fine,insert,1000000,12,2,2000,0,32603690.500,9.403,"insert,1000000,12,2000,0,1048576,65207381,32603690.500"
fine,insert,1000000,1,3,2000,0,3451069.500,1.000,"insert,1000000,1,2000,0,1048576,6902139,3451069.500"
fine,insert,1000000,12,3,2000,0,31583271.500,9.152,"insert,1000000,12,2000,0,1048576,63166543,31583271.500"
fine,mixed,10000,1,1,2000,1,17935724.500,1.000,"mixed,10000,1,2000,1,1048576,35871449,17935724.500"
fine,mixed,10000,12,1,2000,1,96431079.000,5.376,"mixed,10000,12,2000,1,1048576,192862158,96431079.000"
fine,mixed,10000,1,2,2000,1,17141810.500,1.000,"mixed,10000,1,2000,1,1048576,34283621,17141810.500"
fine,mixed,10000,12,2,2000,1,95684953.000,5.582,"mixed,10000,12,2000,1,1048576,191369906,95684953.000"
fine,mixed,10000,1,3,2000,1,17382045.000,1.000,"mixed,10000,1,2000,1,1048576,34764090,17382045.000"
fine,mixed,10000,12,3,2000,1,100896673.000,5.805,"mixed,10000,12,2000,1,1048576,201793346,100896673.000"
fine,mixed,100000,1,1,2000,1,9669528.000,1.000,"mixed,100000,1,2000,1,1048576,19339056,9669528.000"
fine,mixed,100000,12,1,2000,1,79605920.500,8.233,"mixed,100000,12,2000,1,1048576,159211841,79605920.500"
fine,mixed,100000,1,2,2000,1,9698197.500,1.000,"mixed,100000,1,2000,1,1048576,19396395,9698197.500"
fine,mixed,100000,12,2,2000,1,80486049.000,8.299,"mixed,100000,12,2000,1,1048576,160972098,80486049.000"
fine,mixed,100000,1,3,2000,1,10033359.500,1.000,"mixed,100000,1,2000,1,1048576,20066719,10033359.500"
fine,mixed,100000,12,3,2000,1,78957823.500,7.870,"mixed,100000,12,2000,1,1048576,157915647,78957823.500"
fine,mixed,1000000,1,1,2000,1,3359980.000,1.000,"mixed,1000000,1,2000,1,1048576,6719960,3359980.000"
fine,mixed,1000000,12,1,2000,1,35480834.000,10.560,"mixed,1000000,12,2000,1,1048576,70961668,35480834.000"
fine,mixed,1000000,1,2,2000,1,3286270.500,1.000,"mixed,1000000,1,2000,1,1048576,6572541,3286270.500"
fine,mixed,1000000,12,2,2000,1,33630118.000,10.234,"mixed,1000000,12,2000,1,1048576,67260236,33630118.000"
fine,mixed,1000000,1,3,2000,1,3175974.500,1.000,"mixed,1000000,1,2000,1,1048576,6351949,3175974.500"
fine,mixed,1000000,12,3,2000,1,34812315.000,10.961,"mixed,1000000,12,2000,1,1048576,69624630,34812315.000"
